idA,idB
1,3882
1,3659
1,3325
1,2751
1,1680
1,599
1,283
1,2984
1,702
1,1533
1,1016
1,1551
1,3728
6,249
6,1302
6,2386
6,297
6,2293
6,132
6,1416
6,3229
6,1106
6,1732
6,263
6,1992
6,2212
6,2276
10,3888
10,927
10,2263
10,2802
10,1363
10,2278
10,1221
10,1292
10,2109
10,3393
10,718
10,2863
10,432
10,3333
10,3434
10,2528
10,419
10,278
10,3317
10,289
11,4006
11,3478
11,2950
11,3552
11,1729
11,1520
11,1740
11,1532
11,3757
11,99
11,4052
11,3151
11,1394
11,1538
11,2597
11,1493
11,690
19,3085
19,667
19,463
19,2506
19,3888
19,2613
19,927
19,278
19,1458
19,3758
19,912
19,3317
19,2673
26,2703
26,1899
26,297
26,3463
26,1561
26,2307
26,3455
26,4055
26,418
26,44
26,314
26,1699
26,2924
26,85
26,708
26,857
26,307
26,1862
26,2596
26,1465
31,195
31,832
31,3738
31,2191
31,3287
31,2960
31,1969
31,1971
31,3996
31,2042
31,565
31,3366
31,3431
31,3078
31,3482
31,1234
31,3806
31,3125
38,2012
38,3351
38,355
38,3324
38,2112
38,976
38,3756
38,2446
38,2269
38,284
38,2972
38,101
38,2051
38,2472
38,3821
38,457
38,463
38,661
38,3994
38,1495
38,2367
38,3889
38,2135
38,3164
44,343
44,2386
44,3395
44,2173
44,3777
44,3788
44,1291
44,1425
44,2444
44,3858
44,6
44,1205
44,1174
44,1890
44,2014
44,132
44,2881
44,1992
44,2293
44,620
44,297
44,629
44,3318
44,3674
44,448
45,2743
45,3809
45,1744
45,605
45,2303
45,1301
45,1290
45,2217
45,3291
45,2112
45,3756
45,2688
45,1079
45,1630
46,297
46,2476
46,2307
46,921
46,1946
46,44
46,1704
46,3945
46,2164
46,4030
46,575
46,2885
46,2899
46,2401
46,3887
46,1620
46,3370
46,2532
46,268
46,307
47,1914
47,1592
47,3507
47,2703
47,3184
47,2748
47,2254
47,2801
47,3840
47,2443
47,1654
47,2414
47,260
47,3373
47,1699
47,1774
47,899
48,2835
48,1478
48,894
48,2477
48,656
48,3236
48,575
48,2251
48,2615
48,3373
48,2608
48,1620
48,1020
48,1948
48,1699
48,1736
48,1665
48,2924
54,2719
54,2385
54,433
54,818
54,1745
54,2451
54,2233
54,2649
54,1400
54,663
54,3910
54,2759
54,1728
54,3366
54,1353
54,1956
54,897
54,372
56,419
56,3808
56,3156
56,1004
56,2263
56,927
56,174
56,2158
56,3792
56,3317
56,3994
56,2478
56,1045
56,3310
56,2869
56,278
56,1765
56,2802
56,1545
59,2541
59,2461
59,2977
59,3550
59,229
59,156
59,3576
59,1018
59,1616
59,1043
59,3808
59,779
59,2274
61,1620
61,1275
61,1592
61,1149
61,2079
61,524
61,3522
61,1736
61,4058
61,297
61,2835
61,3464
61,1699
61,3490
61,1574
61,213
61,172
61,589
61,1955
63,1545
63,19
63,3317
63,2383
63,2400
63,3333
63,1290
63,2559
63,2233
63,463
63,258
63,1393
63,2171
63,626
63,2737
63,3107
65,2420
65,2174
65,811
65,3885
65,1673
65,2359
65,3835
65,810
65,1532
65,1522
65,1003
65,2203
65,2317
65,3417
65,3757
65,2271
65,242
65,2543
65,3006
66,2971
66,3093
66,2510
66,3999
66,3790
66,1341
66,2547
66,2899
66,2100
66,1549
66,252
66,960
66,2476
66,3284
66,1505
66,651
66,3887
72,2752
72,3729
72,2170
72,2858
72,0
72,737
72,1770
72,4082
72,2072
72,590
72,1743
72,256
72,2486
72,2106
72,3082
72,1696
72,1102
72,24
72,2517
72,1586
74,3888
74,2400
74,2233
74,721
74,3488
74,463
74,427
74,2737
74,1207
74,3808
74,912
74,3317
74,258
74,289
74,3758
74,1117
