id,title,artist,idSpotify,preview,genre,energy,cover,bpm,date
222,Energy,Elektronomia,4877aUM6Fw9gCk2EWh1Pyf,https://p.scdn.co/mp3-preview/82e5946ba4d461b27ef5ec93bcbc8922c7b19094?cid=dc103043f05746ba809bc490afdc3fe6,gaming edm,92.10000000000001,https://i.scdn.co/image/ab67616d0000b273d445aefa95cdf69288d9c9c2,128.092,2016-09-17
223,Igot,Kidd Keo,5Dp8iBqAjkmh3kRX9bNPM7,https://p.scdn.co/mp3-preview/69da7cf79ff19d9e11a2f7319ffe37792ca01cd9?cid=dc103043f05746ba809bc490afdc3fe6,urbano espanol,55.800000000000004,https://i.scdn.co/image/ab67616d0000b273f448b9afbdc230711d3d6027,139.979,2018-04-12
224,AMOR SALVAJE,Nathy Peluso,5m52ilju1n71CEjyFikYt3,https://p.scdn.co/mp3-preview/a4433ba501cf6f2357b538669cc258cba2c4ed9e?cid=dc103043f05746ba809bc490afdc3fe6,rap latina,49.5,https://i.scdn.co/image/ab67616d0000b2735eb6fc30c41f63356f7af40a,179.608,2020-10-02
225,Te Vigilan,Elektroduendes,5aqmaAinCdVb5zkoevXvRX,https://p.scdn.co/mp3-preview/3e2a60ed3d5787582f05e51dc67f4091a650fdee?cid=dc103043f05746ba809bc490afdc3fe6,spanish punk,91.10000000000001,https://i.scdn.co/image/ab67616d0000b273ce9cf797464ae0d993473efb,166.913,2004
228,Favorite (feat. VanJess),Brasstracks,6eSUHdv5Prl4iJr76auByd,https://p.scdn.co/mp3-preview/c38762385e36bb2c2f869fee4d8baac38b2ec708?cid=dc103043f05746ba809bc490afdc3fe6,indie soul,66.60000000000001,https://i.scdn.co/image/ab67616d0000b2732ca139e62077fd425e5eaade,105.024,2017-08-04
229,La Trompeta Del Diablo,Jey Agredo,60cUW8whWzeVIONqISksOO,https://p.scdn.co/mp3-preview/f5d0a2120c20ac8eefe46f0b9a1b9c82c3848f73?cid=dc103043f05746ba809bc490afdc3fe6,guaracha,82.19999999999999,https://i.scdn.co/image/ab67616d0000b27352dcf7fb13aeea0f12870da9,127.995,2020-06-02
230,Wildest Dreams,Taylor Swift,1Ov37jtRQ2YNAe8HzfczkL,null,pop,67.0,https://i.scdn.co/image/ab67616d0000b273eb10050f6fe8e2783a91a4b1,140.061,2021-09-17
231,Afuera Del Planeta,Manuel Medrano,71t9GoojGIMZLySI6imKFY,https://p.scdn.co/mp3-preview/601d425657e664179c98df2bfbc6a3e37a739cfd?cid=dc103043f05746ba809bc490afdc3fe6,colombian pop,50.8,https://i.scdn.co/image/ab67616d0000b2738195fefecfd1ba1918971352,171.98,2015-10-30
232,Angels,The xx,3zsRP8rH1kaIAo9fmiP4El,https://p.scdn.co/mp3-preview/be0f23f3b932a4e1c69dfaf5ed7ba43bd00a8f02?cid=dc103043f05746ba809bc490afdc3fe6,downtempo,15.7,https://i.scdn.co/image/ab67616d0000b273238bf382e0e52c32648761b9,91.537,2012-09-10
233,Kiss Me More (feat. SZA),Doja Cat,748mdHapucXQri7IAO8yFK,https://p.scdn.co/mp3-preview/8b1d00e682179457aed6ea828ef76ff9f3b5027b?cid=dc103043f05746ba809bc490afdc3fe6,dance pop,70.1,https://i.scdn.co/image/ab67616d0000b273908280d9807127e185b71d56,110.968,2021-04-09
